"source_article","stratum","citation_key","year","title","journal","doi","pmid","url","bibtex_entry_type","data_dir","extraction_files","match_status","notes"
"hu2019","Omega3","huMarineOmega3Supplementation2019","2019","Marine Omega-3 Supplementation and Cardiovascular Disease: An Updated Meta-Analysis of 13 Randomized Controlled Trials Involving 127 477 Participants","Journal of the American Heart Association","10.1161/JAHA.119.013543","","","article","data/Omega3/hu2019","hu2019_omega3_cardiovascular_disease_death.csv; hu2019_omega3_cardiovascular_disease_death.xlsx; hu2019_omega3_coronary_heart_disease_death.csv; hu2019_omega3_coronary_heart_disease_death.xlsx; hu2019_omega3_myocardial_infarction.csv; hu2019_omega3_myocardial_infarction.xlsx","exact",""
"khorshidi2022","Omega3","khorshidiEffectOmega3Supplementation2023","2023","Effect of Omega-3 Supplementation on Lipid Profile in Children and Adolescents: A Systematic Review and Meta-Analysis of Randomized Clinical Trials","Nutrition Journal","10.1186/s12937-022-00826-5","","","article","data/Omega3/khorshidi2022","khorshidi2022_omega3_triglycerides.csv; khorshidi2022_omega3_triglycerides.xlsx","probable","matched by surname; bib year 2023 vs src year 2022 (yr-diff 1, within ±1)"
"kong2025","Omega3","kongExplorationOptimizedPortrait2025a","2025","Exploration of the Optimized Portrait of Omega-3 Polyunsaturated Fatty Acids in Treating Depression: A Meta-Analysis of Randomized-Controlled Trials","Journal of Affective Disorders","10.1016/j.jad.2025.03.006","","","article","data/Omega3/kong2025","kong2025_omega3_depression.xlsx","exact","2 bib entries match exactly; selected canonical key; other matches (likely duplicate bib entries for the same paper): kongExplorationOptimizedPortrait2025"
"kotwal2012","Omega3","kotwalOmega3Fatty2012","2012","Omega 3 Fatty Acids and Cardiovascular Outcomes: Systematic Review and Meta-Analysis","Circulation: Cardiovascular Quality and Outcomes","10.1161/CIRCOUTCOMES.112.966168","","","article","data/Omega3/kotwal2012","kotwal2012_omega3_cardiovascular_outcomes.csv; kotwal2012_omega3_cardiovascular_outcomes.xlsx","exact",""
"liao2019","Omega3","liaoEfficacyOmega3PUFAs2019","2019","Efficacy of Omega-3 PUFAs in Depression: A Meta-Analysis","Translational Psychiatry","10.1038/s41398-019-0515-5","","","article","data/Omega3/liao2019","liao2019_omega3_depression.csv; liao2019_omega3_depression.xlsx","exact",""
"rizos2012","Omega3","rizosAssociationOmega3Fatty2012","2012","Association between Omega-3 Fatty Acid Supplementation and Risk of Major Cardiovascular Disease Events: A Systematic Review and Meta-Analysis","JAMA","10.1001/2012.jama.11374","","","article","data/Omega3/rizos2012","rizos2012_omega3_all_cause_mortality.csv; rizos2012_omega3_all_cause_mortality.xlsx","exact",""
"serra2021","Omega3","serraSupplementationOmega32021","2021","Supplementation of Omega 3 during Pregnancy and the Risk of Preterm Birth: A Systematic Review and Meta-Analysis","Nutrients","10.3390/nu13051704","","","article","data/Omega3/serra2021","serra2021_omega3_preterm_birth.csv; serra2021_omega3_preterm_birth.xlsx","exact",""
"su2018","Omega3","suAssociationUseOmega32018","2018","Association of Use of Omega-3 Polyunsaturated Fatty Acids With Changes in Severity of Anxiety Symptoms: A Systematic Review and Meta-analysis","JAMA Network Open","10.1001/jamanetworkopen.2018.2327","","","article","data/Omega3/su2018","su2018_omega3_anxiety.csv; su2018_omega3_anxiety.xlsx","exact",""
"wang2012","Omega3","wangEffectOmega3Fatty2012","2012","Effect of Omega-3 Fatty Acids Supplementation on Endothelial Function: A Meta-Analysis of Randomized Controlled Trials","Atherosclerosis","10.1016/j.atherosclerosis.2012.01.006","","","article","data/Omega3/wang2012","wang2012_omega3_endothelium_independent_vasodilation.csv; wang2012_omega3_endothelium_independent_vasodilation.xlsx; wang2012_omega3_flow_mediated_dilation.csv; wang2012_omega3_flow_mediated_dilation.xlsx","exact",""
"cermak2012","Protein","cermakProteinSupplementationAugments2012","2012","Protein Supplementation Augments the Adaptive Response of Skeletal Muscle to Resistance-Type Exercise Training: A Meta-Analysis","The American Journal of Clinical Nutrition","10.3945/ajcn.112.037556","","","article","data/Protein/cermak2012","cermak2012_protein_lean_body_mass.csv; cermak2012_protein_lean_body_mass.xlsx; cermak2012_protein_leg_press_strength.csv; cermak2012_protein_leg_press_strength.xlsx","exact",""
"finger2015","Protein","fingerEffectsProteinSupplementation2015","2015","Effects of Protein Supplementation in Older Adults Undergoing Resistance Training: A Systematic Review and Meta-Analysis","Sports Medicine","10.1007/s40279-014-0269-4","","","article","data/Protein/finger2015","finger2015_protein_lean_body_mass.csv; finger2015_protein_lean_body_mass.xlsx; finger2015_protein_muscle_mass.csv; finger2015_protein_muscle_mass.xlsx","exact",""
"liao2017","Protein","liaoEffectsProteinSupplementation2017","2017","Effects of Protein Supplementation Combined with Resistance Exercise on Body Composition and Physical Function in Older Adults: A Systematic Review and Meta-Analysis","The American Journal of Clinical Nutrition","10.3945/ajcn.116.143594","","","article","data/Protein/liao2017","liao2017_protein_lean_body_mass.xlsx; liao2017_protein_lean_body_mass_excl.csv; liao2017_protein_leg_strength.csv; liao2017_protein_leg_strength.xlsx","exact",""
"milne2006","Protein","milneMetaanalysisProteinEnergy2006","2006","Meta-Analysis: Protein and Energy Supplementation in Older People","Annals of Internal Medicine","","","","article","data/Protein/milne2006","milne2006_protein_complications.csv; milne2006_protein_complications.xlsx; milne2006_protein_mortality.csv; milne2006_protein_mortality.xlsx","exact",""
"morton2018","Protein","mortonSystematicReviewMetaanalysis2018","2018","A Systematic Review, Meta-Analysis and Meta-Regression of the Effect of Protein Supplementation on Resistance Training-Induced Gains in Muscle Mass and Strength in Healthy Adults","British Journal of Sports Medicine","10.1136/bjsports-2017-097608","","","article","data/Protein/morton2018","morton2018_protein_lean_body_mass.csv; morton2018_protein_lean_body_mass.xlsx; morton2018_protein_muscle_fiber_size.csv; morton2018_protein_muscle_fiber_size.xlsx; morton2018_protein_muscle_strength.csv; morton2018_protein_muscle_strength.xlsx","exact",""
"nunes2022","Protein","nunesSystematicReviewMetaanalysis2022","2022","Systematic Review and Meta-analysis of Protein Intake to Support Muscle Mass and Function in Healthy Adults","Journal of Cachexia, Sarcopenia and Muscle","10.1002/jcsm.12922","","","article","data/Protein/nunes2022","nunes2022_protein_bench_press_strength.xlsx; nunes2022_protein_bench_press_strength_excl.csv; nunes2022_protein_lean_body_mass.xlsx; nunes2022_protein_lean_body_mass_excl.csv; nunes2022_protein_leg_strength.csv; nunes2022_protein_leg_strength.xlsx","exact","2 bib entries match exactly; selected canonical key; other matches (likely duplicate bib entries for the same paper): nunes2022systematic"
"orsso2024","Protein","orssoEffectsHighproteinSupplementation2024","2024","Effects of High-Protein Supplementation during Cancer Therapy: A Systematic Review and Meta-Analysis","The American Journal of Clinical Nutrition","10.1016/j.ajcnut.2024.08.016","","","article","data/Protein/orsso2024","orsso2024_protein_body_weight.csv; orsso2024_protein_body_weight.xlsx","exact",""
"schoenfeld2017","Protein","schoenfeldEffectProteinTiming2013","2013","The Effect of Protein Timing on Muscle Strength and Hypertrophy: A Meta-Analysis","Journal of the International Society of Sports Nutrition","10.1186/1550-2783-10-53","","","article","data/Protein/schoenfeld2017","schoenfeld2017_protein_muscle_size.csv; schoenfeld2017_protein_muscle_size.xlsx; schoenfeld2017_protein_muscle_strength.csv; schoenfeld2017_protein_muscle_strength.xlsx","probable","matched by surname; bib year 2013 vs src year 2017 (yr-diff 4, within ±4)"
"wycherley2010","Protein","wycherleyEffectsEnergyrestrictedHighprotein2012","2012","Effects of Energy-Restricted High-Protein, Low-Fat Compared with Standard-Protein, Low-Fat Diets: A Meta-Analysis of Randomized Controlled Trials","The American Journal of Clinical Nutrition","10.3945/ajcn.112.044321","","","article","data/Protein/wycherley2010","wycherley2010_protein_body_weight.csv; wycherley2010_protein_body_weight.xlsx; wycherley2010_protein_fat_mass.csv; wycherley2010_protein_fat_mass.xlsx; wycherley2010_protein_lean_body_mass.csv; wycherley2010_protein_lean_body_mass.xlsx; wycherley2010_protein_triglycerides.csv; wycherley2010_protein_triglycerides.xlsx","probable","matched by surname; bib year 2012 vs src year 2010 (yr-diff 2, within ±2)"
"autier2007","VitaminD","autierVitaminSupplementationTotal2007","2007","Vitamin D Supplementation and Total Mortality: A Meta-Analysis of Randomized Controlled Trials","Archives of Internal Medicine","10.1001/archinte.167.16.1730","","","article","data/VitaminD/autier2007","autier2007_vitamind_total_mortality.csv; autier2007_vitamind_total_mortality.xlsx","exact",""
"bergman2013","VitaminD","bergmanVitaminRespiratoryTract2013","2013","Vitamin D and Respiratory Tract Infections: A Systematic Review and Meta-Analysis of Randomized Controlled Trials","PLoS ONE","10.1371/journal.pone.0065835","","","article","data/VitaminD/bergman2013","bergman2013_vitamind_respiratory_tract_infection.csv; bergman2013_vitamind_respiratory_tract_infection.xlsx","exact",""
"beveridge2015","VitaminD","beveridgeEffectVitaminSupplementation2015","2015","Effect of Vitamin D Supplementation on Blood Pressure: A Systematic Review and Meta-analysis Incorporating Individual Patient Data","JAMA Internal Medicine","10.1001/jamainternmed.2015.0237","","","article","data/VitaminD/beveridge2015","beveridge2015_vitamind_systolic_blood_pressure.csv; beveridge2015_vitamind_systolic_blood_pressure.xlsx","exact",""
"bischoffferrari2005","VitaminD","bischoff-ferrariFracturePreventionVitamin2005","2005","Fracture Prevention With Vitamin D Supplementation: A Meta-analysis of Randomized Controlled Trials","JAMA","10.1001/jama.293.18.2257","","","article","data/VitaminD/bischoffferrari2005","bischoffferrari2005_vitamind_nonvertebral_fracture.csv; bischoffferrari2005_vitamind_nonvertebral_fracture.xlsx","exact",""
"bischoffferrari2009","VitaminD","bischoff-ferrariFallPreventionSupplemental2009","2009","Fall Prevention with Supplemental and Active Forms of Vitamin D: A Meta-Analysis of Randomised Controlled Trials","BMJ","10.1136/bmj.b3692","","","article","data/VitaminD/bischoffferrari2009","bischoffferrari2009_vitamind_falls.csv; bischoffferrari2009_vitamind_falls.xlsx","exact",""
"bjelakovic2014","VitaminD","bjelakovicVitaminSupplementationPrevention2014","2014","Vitamin D Supplementation for Prevention of Mortality in Adults","Cochrane Database of Systematic Reviews","10.1002/14651858.CD007470.pub3","","","article","data/VitaminD/bjelakovic2014","bjelakovic2014_vitamind_all_cause_mortality.csv; bjelakovic2014_vitamind_all_cause_mortality.xlsx","exact",""
"chen2024","VitaminD","chenEfficacyVitaminSupplementation2024","2024","Efficacy of Vitamin D Supplementation on Glycaemic Control in Type 2 Diabetes: An Updated Systematic Review and Meta-analysis of Randomized Controlled Trials","Diabetes, Obesity and Metabolism","10.1111/dom.15941","","","article","data/VitaminD/chen2024","chen2024_vitamind_fasting_blood_glucose.csv; chen2024_vitamind_fasting_blood_glucose.xlsx; chen2024_vitamind_fasting_insulin.csv; chen2024_vitamind_fasting_insulin.xlsx; chen2024_vitamind_hba1c.csv; chen2024_vitamind_hba1c.xlsx; chen2024_vitamind_homa_ir.xlsx; chen2024_vitamind_homa_ir_excl.csv","exact","stratum-disambiguated from 2 candidates (1); other keys (likely duplicates of same paper or wrong-stratum entries): chenEffectCaffeineIngestion2024"
"jolliffe2021","VitaminD","jolliffeVitaminSupplementationPrevent2021","2021","Vitamin D Supplementation to Prevent Acute Respiratory Infections: A Systematic Review and Meta-Analysis of Aggregate Data from Randomised Controlled Trials","The Lancet Diabetes \& Endocrinology","10.1016/S2213-8587(21)00051-6","","","article","data/VitaminD/jolliffe2021","jolliffe2021_vitamind_acute_respiratory_infections.csv; jolliffe2021_vitamind_acute_respiratory_infections.xlsx","exact",""
"juraschek2012","VitaminD","juraschekEffectsVitaminSupplementation2012","2012","Effects of Vitamin C Supplementation on Blood Pressure: A Meta-Analysis of Randomized Controlled Trials","The American Journal of Clinical Nutrition","10.3945/ajcn.111.027995","","","article","data/VitaminD/juraschek2012","juraschek2012_vitamind_diastolic_blood_pressure.csv; juraschek2012_vitamind_diastolic_blood_pressure.xlsx; juraschek2012_vitamind_systolic_blood_pressure.csv; juraschek2012_vitamind_systolic_blood_pressure.xlsx","exact",""
"macpherson2013","VitaminD","macphersonMultivitaminmultimineralSupplementationMortality2013","2013","Multivitamin-Multimineral Supplementation and Mortality: A Meta-Analysis of Randomized Controlled Trials","The American Journal of Clinical Nutrition","10.3945/ajcn.112.049304","","","article","data/VitaminD/macpherson2013","macpherson2013_vitamind_all_cause_mortality.csv; macpherson2013_vitamind_all_cause_mortality.xlsx","exact",""
"martineau2017","VitaminD","martineauVitaminSupplementationPrevent2017","2017","Vitamin D Supplementation to Prevent Acute Respiratory Tract Infections: Systematic Review and Meta-Analysis of Individual Participant Data","BMJ","10.1136/bmj.i6583","","","article","data/VitaminD/martineau2017","martineau2017_vitamind_respiratory_tract_infections.csv; martineau2017_vitamind_respiratory_tract_infections.xlsx","exact",""
"mayowilson2011","VitaminD","mayo-wilsonVitaminSupplementsPreventing2011","2011","Vitamin A Supplements for Preventing Mortality, Illness, and Blindness in Children Aged under 5: Systematic Review and Meta-Analysis","BMJ","10.1136/bmj.d5094","","","article","data/VitaminD/mayowilson2011","mayowilson2011_vitamind_all_cause_mortality.csv; mayowilson2011_vitamind_all_cause_mortality.xlsx; mayowilson2011_vitamind_diarrhoea_incidence.csv; mayowilson2011_vitamind_diarrhoea_incidence.xlsx","exact",""
"rakshasbhuvankar2021","VitaminD","rakshasbhuvankarVitaminSupplementationVerypreterm2021","2021","Vitamin A Supplementation in Very-Preterm or Very-Low-Birth-Weight Infants to Prevent Morbidity and Mortality: A Systematic Review and Meta-Analysis of Randomized Trials","The American Journal of Clinical Nutrition","10.1093/ajcn/nqab294","","","article","data/VitaminD/rakshasbhuvankar2021","rakshasbhuvankar2021_vitamind_mortality.csv; rakshasbhuvankar2021_vitamind_mortality.xlsx","exact",""
"reid2014","VitaminD","reidEffectsVitaminSupplements2014","2014","Effects of Vitamin D Supplements on Bone Mineral Density: A Systematic Review and Meta-Analysis","The Lancet","10.1016/S0140-6736(13)61647-5","","","article","data/VitaminD/reid2014","reid2014_vitamind_femoral_bone_mineral_density.csv; reid2014_vitamind_femoral_bone_mineral_density.xlsx; reid2014_vitamind_lumbar_bone_mineral_density.csv; reid2014_vitamind_lumbar_bone_mineral_density.xlsx","exact",""
"stockton2011","VitaminD","stocktonEffectVitaminSupplementation2010","2011","Effect of Vitamin D Supplementation on Muscle Strength: A Systematic Review and Meta-Analysis","Osteoporosis International","10.1007/s00198-010-1407-y","","","article","data/VitaminD/stockton2011","stockton2011_vitamind_muscle_strength.csv; stockton2011_vitamind_muscle_strength.xlsx","exact",""
"yao2019","VitaminD","yaoVitaminCalciumPrevention2019","2019","Vitamin D and Calcium for the Prevention of Fracture: A Systematic Review and Meta-analysis","JAMA Network Open","10.1001/jamanetworkopen.2019.17789","","","article","data/VitaminD/yao2019","yao2019_vitamind_any_fracture.csv; yao2019_vitamind_any_fracture.xlsx","exact",""
"zhang2019","VitaminD","zhangAssociationVitaminSupplementation2019","2019","Association between Vitamin D Supplementation and Mortality: Systematic Review and Meta-Analysis","BMJ","10.1136/bmj.l4673","","","article","data/VitaminD/zhang2019","zhang2019_vitamind_all_cause_mortality.csv; zhang2019_vitamind_all_cause_mortality.xlsx","exact",""
